,score,Title,content
31,5.0,45th Anniversary,Beautiful place Clean newly remodeled room It was Easter weekend so the garden was decorated for spring. So pretty. We had breakfast in bed on the morning we left. It came hot and delicious!!! We have stayed at many different hotels in Las Vegas but we will be staying at the bellagio from now on!
32,5.0,Bellagio still the best,"Room was great with good space, view and an A/C you can actually crank way down; terrific food options; location on strip can’t be beat. Casino is very clean with good filtration system which is big to us as non smokers. O show still best on the strip."
33,5.0,Where to go in Vegas,"Belliagio is truly THE best!! They treat you like royalty! Please check this hotel/casino out! I guarantee you won’t be disappointed. Rooms are excellent, casino is fantastic, and there isn’t a bad restaurant in the whole place!!"
34,5.0,Love the Bellagio!,"Check in was a breeze. Stayed in a Bellagio Queen Suite on the 36th floor and everything was wonderful. The room was clean, air conditioning worked great, beds were very comfortable and room service was delivered fairly quickly. Reviews were showing complaints about no housekeeping services but we opted for the ""do not disturb"" sign for our four night stay. You have to be pretty lazy not to make up your own bed for a few days and how much room trash could you accumulate if you are out all day? We saw housekeeping in the hall every day in the event we needed anything. Spent lots of time in the casino which was pretty smokey and we had no problem getting drinks as there were cocktail waitresses all over the place. While we didn't win any big jackpots we didn't lose"
35,5.0,VIP Service,We had an issue when checking into the Penthouse suite but Jacqueline was so kind to correct the issue. She made our stay so much more pleasant! All around the Bellagio is top notch! Great customer service!
36,5.0,Best ever Resort!,"Spoiled beyond all expectations! Service, restaurants, gaming, overall experience like I've never had in Las Vegas. Classy as expected and so much more. The fountain view rooms were better than I could have imagined."
37,5.0,Second stay at Bellagio,"What a great stay! Food, entertainment, service and drinks. Everything top notch. Thank you Bellagio! The casino was fun and had all of our favorite games, along with some we haven’t ever played before. Win win!"
38,4.0,Wonderful vacation in Bellagio,We spent 3days2nights in your hotel and we enjoyed the time there especially the buffe very good. We 'll stay in this hotel next time.Thanks a lot. By the way the room the bed the bathroom all very bright and spacious .
39,5.0,Great to be back at Bellagio,Wonderful stay! We have stayed at Bellagio many times and enjoyed this visit the best. Our Bellagio strip view suite on the 31st floor of the spa tower was the best suite we have stayed in. It was extremely quiet and was a great set of rooms. We really liked the mobile check in and communication. Our room was cleaned daily while we were out. The Bellagio is ideally located with easy access to many restaurants and casinos. We look forward to our next visit.
40,5.0,Spectacular as always.,"Trip was wonderful. Dined at Le Cirque and all I can say is wow. Staff were helpful as always, gambling was fun, and the room was immaculate. Only hiccup was one morning there was a very drunk individual yelling cocktail, cocktail, cocktail which staff did nothing about I assume because he was hemorrhaging 100 dollar bills into the slots. It was amusing at first, but after an hour it got really annoying. Worst part is no servers showed up in that area - I assume so no had to officially cut him off. Had to finally go to the gift shop and buy a water. This was at 7:00 am. As annoyed as I was at the time - it does make for a good story."
41,5.0,Wonderful place to stay,Very nice place to stay in Vegas.. Great location and awesome staff!!! We really enjoyed the central location and the restaurants were incredible.. We will definitely be making another visit to the Bellagio!!!
42,3.0,Bellagio Review,"Very nice property with great location. Beautiful facility with great staff. The room we were assigned was very tired needs major upgrades. No water pressure, very little hot water and it took 5+ minutes of running to get warm water, shower stall glass walls leaks with mold in corners, bed worn on both outside sides. middle of the bed seemed fine. However, for the cost of the room I have had much better room at Hampton Inn for $100."
43,5.0,Good Stuff,"Staff was very friendly upon checking in. Room was excellent with a good view of the strip. Pools were heated, had whirlpools as well. Lots of food options for all types of ages. Will stay here again in the near future."
44,4.0,Anniversary trip,"Wonderful trip! Awesome food and drinks! The pool area was a little short staffed, but the workers that were there - were awesome and working very hard to help everyone. There should be more coffee options in the hotel considering everyone is hungover :) and a bench here and there - for those that need to rest throughout the hotel/casino, would be helpful! But we Would definitely stay at the Bellagio again. Overall it was great!"
45,5.0,LOVE the Bellagio and the location,"We stayed at the Bellagio during the NFL draft and despite all the people in and around the Bellagio, we never had to wait on tables or in crazy long lines for taxis. They were prepared and had ample staff and it made for a great experience. It was so clean and the staff was friendly and we loved being so centrally located. It was a great stay. No complaints!"
46,5.0,Draft Fun,My husband and I went to Vegas for a quick trip. We didn't realize the NFL draft was taking place. We thought it would be packed and crazy but it wasn't. We had a great time walking around and seeing all the pre draft set up. Bellagio was a great location for us. The staff were all friendly and rooms were clean and comfortable
47,5.0,As advertised,"We've all heard how nice Bellagio is. It's true...also huge, noisy, crowded...you know...Las Vegas. We got an ""upgraded"" king room. It was just another king room, nothing special. View of the highway. We're not gamblers, so can't comment on that. Fun people-watching though. Fountain was cool. Nothing negative to say about the place."
48,4.0,Vacation,"Hotel was beautiful. Great Location. Pool and Hot Tub was only opened until 6:00 - Wish it stayed open longer. Lots of shopping places, slots and tables. The only thing I wish they would have had a few more small eating places."
49,5.0,40th Birthday,"I love staying at the Bellagio. It’s beautiful, the majority of the staff are WONDERFUL! If you like to play craps, Carl will make sure you have fun! The conservatory is always beautiful and worth the stay right there!"
50,5.0,Bellagio Resort,"Excellent Hotel. Great Restaurants, Slots, table games and rooms. Easy access to the strip. Employees very professional and courteous. Have stayed at Bellagio for many years, would not stay anywhere else."
51,5.0,Doesn't get any better!,"There aren't many hotels that do it as well as the Bellagio. The staff is very welcoming, the Check-in process is seamless, and the food is top-notch. There's a reason that Bellagio consistently makes the 5-star rating."
52,5.0,Great hotel,Loved the hotel. The only thing that I would change is to have at least one deep pool and also wish they prolong the hours of operation for the buffet or reopen for dinner time. Great location and great staff.
53,5.0,NFL Draft weekend Extrsvaganza,Great weekend thanks to the team @ the Bellagio! Everything went so smoothly on a busy draft weekend. Beautiful facilities and great team members. Don’t miss the Piano Bsr near the Hotel lobb. Great live music and great drinks and atmosphere.
54,5.0,We love everything about the Bellagio,We have been staying at the Bellagio a few times and each time our interactions with staff have all been amazing. Our room is always comfortable and clean. We love Yellowtail restaurant and eat there each time. The pool restaurant has gluten free buns and options and is always yummy. And the pool area is the best. It's always clean and the service is amazing. We pick Bellagio over the other restaurants we stayed at.
55,3.0,Not the best experience everyone in the casino wasn’t the friendliest.,"We received great customer service at the restaurant Snacks. Very friendly, fast and decent food. GREAT CHEESECAKE ! The pools were also an experience in itself so many pool and jacuzzis that crowding is unlikely. :)"
56,4.0,Great service,The employees at the Bellagio take pride in providing exceptional service. The cleaning staff to the casino floor employees provided great service with a smile and helped creat a perfect weekend getaway for the family.
57,5.0,Lisa W. in the News Stand,We had a wonderful experience and service when we visited the news stand inside of the Bellagio to pick up a few drinks before heading out to the NFL Draft. Lisa W. remembered us and our favorite NFL team (Washington Commanders). She was so friendly and kind! We hope to see her again during our next visit!
58,1.0,Is it really clean?,"For almost $500 a night, I was expecting a clean room. I am now doubting that when I saw a bunch of hair in the shower. I didn’t call the desk anymore because it was late and I was tired. The staff were friendly though. That part is good."
59,5.0,Love this Hotel and the Fountain,"Great hotel great ambiance, and great restaurant and food selections. I am disappointed the all night breakfast restaurant is closed and replaced with less popular restaurant bar. Always a great time at the Bellagio"
60,4.0,Review,"I found the room and bathroom lovely. The restaurant choices are good, the Spa GREAT. I had a bit of a snafu checkin in. I like staying here and will again in the future. Wish you had a coffee machine in the room"
61,3.0,Unsatisfactory stay,"Property was amazing, customer service very friendly just wish your housekeeping were more cautious about marking a clean room CLEAN when it wasn’t, I would of rather waited an extra hour to have a clean room than having to deal with this let alone my wife hates to complain."
62,5.0,Anniversary Celebration,My wife and I celebrated our 25th year anniversary. We could not have picked a better place to stay. We rented a room with the fountain view. It was a very nice anniversary get away. We will definitely be returning to the Bellagio!
63,4.0,That’s Amore,"Great weekend getaway from the Westcoast. Wonderful to have warm weather. Pool opens at 9am. If you want to get a seat during the hot months of Vegas, I suggest you haul yourself down. If you snooze ..you lose! Poolside service is available for both food and beverages. QR Codes are also attached to the bottom of your chair if cannot wait for a server to come by."
64,4.0,Sin,"Except noise of a scissor lift sort of equipment at 3 am in the morning at the parking lot area, cleaning or fixing something should have been considered. I was at the 16th floor and couldn't sleep thru the night, can't imagine the lower floor rooms."
65,5.0,Made our first time in Vegas a wonderful experience!,"Loved our stay at the Bellagio! We stayed in the room with a slightly bigger bathroom since it has a separate tub, and we enjoyed all the window views from our room. Romantic atmosphere at night and a wonderful room to come back to after walking around in the hot Las Vegas weather!"
66,5.0,bellagio the beautiful... love everything about the Bellagio! Can not wait to come back to stay here!,"belllagio the beautiful! Love everthing about the Bellagio, the food, the service, the grounds, the flowes the shopping the pool... all above excellent! cant wait to come back! My favorite resort in Las Vegas!"
67,4.0,Best on the strip,"This is a wonderful hotel and has more class than the others. The environment is great, the garden is amazing, and the rooms are very nice. You get what you pay for, and some of the really simple things are a bit over-the-top pricy. I wouldn't stay anywhere else."
68,5.0,fabulous pool destination,"great pools, and plan to eat at the pools, restaurants,or elsewhere. avoid in room dining for now. it used to be wonderful but clearly this is where cost saving is occurring at the moment. comfortable rooms, very nice casino. Our favorite place to stay n Vegas"
69,5.0,Stay Well Rooms,The stay well rooms are so elegant and so clean it’s a relaxing place to stay. The spacious room with such great details it was the best place to stay no doubt. I was glad my daughter loved it since we were there to celebrate her 28th Birthday
70,5.0,Amazing!,"As always, Bellagio impressed from when I got out the car with valet, to checking in, to the room, dinner reservations, gaming, fountain, and everything. I’d stay here every time if I could. It’s an amazing property and the best on the strip! And I visit the strip often!"
71,3.0,Has Potential for better,Customer Service; Customer Service; Customer Service! I don't exactly know what happened to this Hotel and the people who work here but it's nothing like it used to be. It's apparent that all that the establishment cares about is MONEY!
72,3.0,Good- but showing it's age and attention to detail is being missed.,"Room was very dated. Multiple lightbulbs out, dust on fixtures, and door handles look like it hadn't been wiped down in months. A/C didn't get room below 70° (and yes the curtains were closed). 2 housekeeping call requests for more towels on separate days werent delivered. Chunks of wood from the furniture missing. Now the good: vallet for bags were on it! Superhelpful at checkout also getting down to the ride-sharing area. The gardens were stunning. Pool staff was great (pool was slammed too). Fountains are always a nice display."
73,5.0,Classy,"We stayed from April 29 thru May 1st 2022, Hotel Rooms are renovated and looks new, clean and roomy. Everywhere we went on the property was clean and updated. Lots of Restaurant's and entertainment options."
74,3.0,DONT GAMBLE HERE,"Pit boss Ruby is rude, condescending, and judgmental. I gamble thousands of dollars regularly when I travel to Vegas. she ruined my gambling experience at the tables. I will never gamble at this casino again."
75,3.0,"No coffee in the rooms! What a racket, you get coffee in your room at a Days Inn. Other than that rooms were very nice",No coffee in the rooms what a racket you can get coffee in your room at a Days Inn. Otherwise the rooms were very nice and clean and service was as expected. They do have very high security which is a good thing!
76,4.0,Nice Hotel,"Overall, we had a nice stay. The rooms are good and staff is friendly. It was easy to get to the Las Vegas Strip. The conservatory was gorgeous! The flowers inside the hotel are very fragrant and look like great deal of care put into upkeep of the flowers. Room service food is yummy."
77,3.0,No sleep in the suites,We love this place. But the thumping in the suites is unjustified for the price we pay. Club music until 3 am. We are not rested. We are coming back frustrated. We love this resort. We will reach out to management to remedy and see what happens.
78,5.0,Why Spend a bit more in Vegas,"Yes the school of thought is save money on rooms. But just for the customer service the little extra goes a long way. I was able because of the MGM app to early check-in, get my parking pass, and go from the freeway to my room."
79,5.0,Best Hotel in Vegas,"Another great stay at Bellagio, beautiful, clean and friendly. They do an excellent job on keeping their standards high. The Conservatory is a real gem and always the first place we go to. Bellagio's location makes it the heart of Las Vegas."
80,5.0,Still one of the best MGM properties,"Great location. Wonderful staff who are very professional, knowledgeable, and customer-oriented. Good room and many good food options. While the food options were good they were very expensive...most likely in the same range of the other good restaurants on the strip."
81,5.0,Always Lovely!,"I always stay at the Bellagio! Beautiful, wonderful staff, great rewards, pool/cabanas and great restaurants! We had a fantastic view of the pools and could we could see our cabana, lol. I can’t wait to go again ❤️"
82,5.0,Beautiful Hotel in the middle of the strip,"My daughter's and I stayed here when we came to see Lady Gaga. Our flight was delayed, so we were in a time crunch. The bell clerk took our luggage from the taxi and we were back on our way in 2 minutes. I love the remote check in and the keyless entry, but it backfired on me this time because my phone battery died as I approached the elevator. The elevator attendant called security so I could be let into my room. This happened with hardly any wait time at all. The bell clerk had our luggage up to our room in less than 5 minutes after we called for it. After a soak in the giant bathtub and a night in the gloriously comfortable bed I was ready to take on another day. They have a kiosk near hotel check in where you can print your own key. I printed a key for each of"
83,5.0,Bellagio is the Best in Vegas!!,"We loved Bellagio!! Beautiful and very clean throughout the property!! We received early check in and late check out complimentary!! I’m a MGM Gold Rewards member and my resort fees were waived. Dinner at Yellowtail is a must!! Lago has great cocktails and wine, but the food was okay at best… very small servings. Sadelle’s for breakfast was a 10, we loved the whole experience!! Luc the manager is the best in the business, and he always makes us feel special. The beds and bedding are very comfortable and the newer rooms felt like a boutique hotel with a very large shower!! Loved our views of the pool area and mountains!! The pools are heated and we loved the large jacuzzi’s. We ate at the Pool Cafe for breakfast and loved the food and service. The Gelato Cafe was good for coffee,"
84,5.0,Exquisite Stay at the Bellagio,I was invited by a friend who attended the PSCU marketing conference. This was the first time in Vegas for me and a great pleasure to get to stay at this hotel casino. Everything was clean and everyone went above and beyond to help. Much appreciated. I will certainly stay here again and recommend it to colleagues. Thanks again!
85,5.0,Treat Yourself!,"Who would have thought that Vegas and relax could go together?!?!? I had the most exceptional time dining, relaxing , and living my best life! Everyone at Bellagio from the front desk to the pool waitstaff were friendly and helpful! You know it’s truly a get away when the staff can anticipate guest’s needs and do the math for you for your drink orders! That is truly a vacation: relax and leave your worries for a few days! I feel rejuvenated from this trip! I’m booking my next stay soon and you all should too!"
86,3.0,Rooms do not adequately keep outside sound out.,"Very disappointed with the amount of noise coming into the rooms from the outside. Do not recommend the fountain view rooms. Had no idea that the NFL draft was happening at our hotel during our stay except the 4 day advance email. Complaints were handled with a will make amends, but never were."
87,1.0,Disappointing trip to Vegas,This was my first trip the Vegas and I’m quite surprised that a Hotel of this magnitude could have such disappointing rooms as well as service. The rooms are old and there were so many things wrong with them. I don’t think I’ll ever come back. They could do so much better.
88,5.0,"Lovely Hotel, Fantastic Restaurants",Room was very comfortable with tasteful decor. Checkin and checkout was quick and all staff we dealt with were polite and helpful.Saved the best for last - had a fantastic dinner at Picasso! Food and service were exceptional and we were lucky to have an outdoor table facing the fountains. What a memorable evening!
89,5.0,Most Beautiful Hotel in Las Vegas!,The hotel is very beautiful and spectacular! The rooms look also very good with the touches of gold color which makes it more modern and luxurious. It is definitely one of the best hotels in Las Vegas!
90,5.0,Luxury that's comfortable,"This is by far my favorite hotel. I have stay in many and this is the most comfortable. There are rooms over the fountain which is fun to watch. There are 2 floors of spa-like rooms if you want that atmosphere, with aome over the fountains as well. There is a separate spa tower that avoids the casino, with the spa, gym, coffee store & separate pool entrance if you want a more quiet experience. There are a few pools to choose from that are not a scene. Love to start and finish my trip at the lobby bar with piano music and great snacks! Love it here!"
91,5.0,Best stay on the Strip,We have stayed at many hotels on the strip and the Bellagio is hands down the best. All employees were very accommodating and very friendly. Best service from the minute we got there till we left. Will stay there again!!!
92,4.0,Beautiful Hotel. Overall Amazing Stay.,"Overall we had an amazing stay at the resort from the 5th to the 11th. We had a Resort Tower King room on the 6th floor with an amazing view. The soaking tub with window was what sold the room to us and had us move our reservations here. Room was spotless upon arrival. Almost all staff were friendly and super helpful. The hotel is gorgeous. Self parking was a breeze with easy access to the hotel. Casino had a large variety of games with minimums on slots mainly in the 50 cent to dollar range. Table minimums depended on the time and day, but generally were able to find $25 during slow and $50 during busier times. A few things prevented the rating from being 5 stars. One day the room was not cleaned despite no privacy sign on door and us being gone the majority of the day."
93,5.0,Beautiful Lunar New Year display at Bellagio Gardens,Even if you are not staying at Bellagio : do stop in at the beautiful Conservatory . Enjoy peaceful serene and beautiful natural foliage & decor - themed for different seasons of the year . The diplays are all handmade and so wonderful to behold
94,4.0,Strip View Deluxe King,"What isn't to love about the Bellagio! It is absolutely beautiful, especially the conservatory. Enjoyed our time here, would love to a coffee maker in the room! Also, recommend skipping the breakfast buffet if possible."
95,3.0,"I expect to lose, but I don't expect to never win...","Slots seemed more stingy then I remember them being 18 years ago. Lost both times, but winning a little here and there makes for a much better experience. I spent a lot over 3 days and not even one win over $35. I expect to lose, but I don't expect to never win. My advice is learn the table games and stay away from the slots."
96,1.0,Lackluster hotel,"Felt for the amount of money that the hotel/casino would have been a lot more high class, compared to ceasers palace, this place was like a motel 6! Just didn’t feel like the hotel was worth the money."
97,5.0,Bellagio best in town,"Our stay at the Bellagio was excellent! The room was clean, well appointed and a view of the fountains! The restaurants were exceptional and the staff professional. The front desk person were helpful and provided us with great tips for our stay. Unfortunately we lost at the slots but the experience was fantastic! We’re planning our next trip already! ❤️❤️❤️❤️"
98,3.0,Hard time to give a credit for just a $100.00,"I was told that I have $350 food credit. The guy who checked me in, wrote a 350 credit. Went to the buffet and spent almost $500. The following day, I went to the main lobby just to make sure that I have the $350. I was told I only have $250. She said she will inform the Manager. Went back again in the evening and they said they can’t do anything. I tried again when we check out. It took us almost an hour to take care of the extra $100. It should have been resolved from the beginning. We have to run and catch our flight which we almost did not make it."
99,5.0,Wonderful experience,"We spent three nights at Bellagio in Feb 2022. The location is fantastic, almost at the middle of the strip while both north and south of the strip are within walking distance. The indoor space is gorgeous, with a good number of restaurants. The staff are friendly and the casino is great."
100,5.0,Beautiful place,"Bellagio is so beautiful, elegant. I loved everything single thing about it. Will definitely come back. We had a fountain view and it was spectacular, honestly I thought I would get tired of it, but it never happened, i could watch it all day long"
101,3.0,Nothing exceptional,"The Bellagio’s atmosphere is amazing. The room was great. They almost seemed short staffed. I was there for a week, and gambled daily at the Bellagio, and I was never offered a drink. The staff was very friendly."
102,4.0,Everything as promised - apart from the noise,"An incredible stay at the Bellagio that brought back memories of watching ocean’s eleven. It’s a really fancy hotel that manages to cater to your needs even when it is busy. We had drinks at Petrossian with the excellent pianist, enjoyed sushi and more at Yellowtail and had a spectacular meal at Lago with stunning fountain views. The lobby and lunar new year display were spectacular and housed our breakfast spot at Sadelle’s, a must visit destination. The casino floor itself is pretty big with table limits varying a lot depending on the time of day. We saw one blackjack as high as $300 minimum on the main floor and as low as £15 on one occasion in the week. The pool area is very relaxing with great drinks service, good music and general chilled vibes. Our only issue was the"
103,4.0,Great Location to All Amenities,Bellagio stands up to its Reputation. Rooms and Staff were Excellent and the Check-In and Check Out Process was Both Quick and Efficient. The Location is also Excellent allowing easy access to locations both on and off the strip. Excellent place to stay especially if you are planning a trip to Vegas for the first time!
104,1.0,DIRTY ROOM AND COLD BREAKFAST,"Not our best Hotel experience by a country mile...On arrival room had food outside our door and food on our carpet... On return from breakfast one day ...We found that the room had been cleaned , but the door had been left open and totally insecure. I immediately called guest services and complained to Ingrid who took our call. After explaining what had happened to my amazement Ingrid suggested WE had left the room door unlocked and ajar…I then explained that we were not magicians but tourists who had left the door secured and locked and the room was in need of cleaning and housekeeping and then when we returned that the door was open and ajar and the room had been made up and fully cleaned and then the persons responsible for the cleaning had not secured the door…Ingrid"
105,4.0,Nice Hotel but Smokey Casino,"Hotel for the most part was excellent except for the smoke in the casino. Lots of it and all the time. Lago Restaurant was good but expensive for what you got. Nice view! Woopie! Room was cleaned three times out of six days, not what I would expect of Bellagio and for what we paid. Sadell's restaurant for breakfast was excellent, but remember to make a reservation as the line is quite long if you don't. All staff everywhere from the front desk to the service peope in the restaurants were excellent. Mina's restaurant at the Bellagio was awful! Overcooked food, sauces that covered a great steak that were not good, and a not so nice sommelier who gave up! Food was very pricey besides, but the GM was very nice and accommodating as was the server. Room service was good"
106,5.0,Bellagio is incredible,"The bellagio is the only place i will stay when i come to vegas. Like if i can’t get a room there, i just don’t come. I’ve never had the slightest issue with anything. Everyone is so friendly all the time"
107,5.0,Bellagio is awesome!,"We stayed in the fountain view suite and it was worth every extra penny. Watching the fountain shows nightly was a highlight every night. The room was great, staff were friendly & helpful, restaurants were amazing, and casino was clean and spacious."
108,5.0,Fountain View,Relaxing visit with beautiful view of fountains and the strip. Room was like a sanctuary. Huge shower but water pressure not so great. Room a little warm with automatic curtains open. Not a lot of casual dining options on property so bring dress clothes.. Great atmosphere. Pool was nice.
109,5.0,Bellagio is still the king,I’ll make it quick. If you want to stay in a luxurious and impressive casino go to the Bellagio. None of the riff raff only class. We had an outstanding time for my wifes bday. We even won some money. It was truly a wonderful experience.
110,2.0,Yacht Club Members Only!,"This hotel was probably really nice awhile ago. And the people that stayed there during that time are still staying here. Definitely an older crowd that one could mistake for a yacht club members only retreat. The Strip View King Room was very small and poorly lit even with the small window. The mirror in the bathroom was covered in orange-ish glue around the vanity lighting, there were rips in the carpet, and the bare minimum for amenities in the room. Not up to date AT ALL technology wise. No USB outlets and the alarm clock/radio had a holder for what appeared to be a first generation iPod. Again, probably a really nice room about 15-20 years ago…"
111,5.0,Great property.,"My husband and I stayed here for the first time and it was wonderful. We actually never left the Bellagio it had everything there. Also, great atmosphere. Loved the garden. Great service. I would totally recommend anyone to stay here."
